left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity,instru_trials.thisRepN,instru_trials.thisTrialN,instru_trials.thisN,instru_trials.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,left_gabor.started,left_gabor.stopped,right_gabor.started,right_gabor.stopped,fixation2.started,fixation2.stopped,left_distractor_prac.started,left_distractor_prac.stopped,right_distractor_prac.started,right_distractor_prac.stopped,cue_text.started,cue_text.stopped,fixation3.started,fixation3.stopped,cue_resp.started,cue_resp.stopped,probe.started,probe.stopped,probe_resp.keys,probe_resp.rt,response_ori,buffer.started,buffer.stopped,begin_text.started,begin_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix_cross.started,fix_cross.stopped,left_target.started,left_target.stopped,right_target.started,right_target.stopped,fix_cross2.started,fix_cross2.stopped,left_distractor_main.started,left_distractor_main.stopped,right_distractor_main.started,right_distractor_main.stopped,main_cue.started,main_cue.stopped,fix_cross3.started,fix_cross3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
56,128,12,102,"[25,45] degrees",left,-0.4,56,56,anticlockwise,-44,-26,,,,,0,0,0,0,0,0,0,9,,,,,20.163082665996626,None,20.163082665996626,21.17253909795545,20.163082665996626,21.17253909795545,22.172623463906348,None,22.172623463906348,23.17253931693267,22.172623463906348,23.17253931693267,24.15698266099207,24.356997068971395,24.15698266099207,None,25.757149157929234,None,25.757149157929234,None,space,1.9956730309640989,55.70284759615926,29.275207020924427,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
100,2,135,32,"[25,45] degrees",neutral,-0.4,108,100,clockwise,35,30,,,,,0,0,0,0,0,1,1,0,,,,,29.775280364905484,None,29.775280364905484,30.7753022830002,29.775280364905484,30.7753022830002,31.775456464965828,None,31.775456464965828,32.77566557691898,31.775456464965828,32.77566557691898,33.77446106495336,33.97618932498153,33.77446106495336,None,35.37655991199426,None,35.37655991199426,None,space,1.263394763926044,-57.58155005035694,38.14791494398378,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
89,37,57,4,"[25,45] degrees",neutral,-0.4,134,89,anticlockwise,-32,-33,,,,,0,0,0,0,0,2,2,12,,,,,38.64244917896576,None,38.64244917896576,39.64442612393759,38.64244917896576,39.64442612393759,40.64484605693724,None,40.64484605693724,41.64516353991348,40.64484605693724,41.64516353991348,42.634383698925376,42.82744715700392,42.634383698925376,None,44.24604100594297,None,44.24604100594297,None,space,3.688633381971158,-57.58155005035694,49.464187041972764,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
35,144,14,100,"[25,45] degrees",neutral,0.4,147,144,anticlockwise,-44,-21,,,,,0,0,0,0,0,3,3,6,,,,,49.96428005292546,None,49.96428005292546,50.96438553498592,49.96428005292546,50.96438553498592,51.964535263949074,None,51.964535263949074,52.96357617992908,51.964535263949074,52.96357617992908,53.964998529991135,54.16575433395337,53.964998529991135,None,55.56604990991764,None,55.56604990991764,None,space,3.2696541639743373,-57.58155005035694,60.35025961394422,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
49,113,9,71,"[25,45] degrees",neutral,-0.4,10,49,anticlockwise,-40,-42,,,,,0,0,0,0,0,4,4,8,,,,,60.85045211890247,None,60.85045211890247,61.85120008699596,60.85045211890247,61.85120008699596,62.84067188494373,None,62.84067188494373,63.851288781967014,62.84067188494373,63.851288781967014,64.85188240895513,65.05201319197658,64.85188240895513,None,66.45206616795622,None,66.45206616795622,None,None,,-57.58155005035694,72.95261521590874,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
28,59,-9,37,"[25,45] degrees",right,0.4,56,59,anticlockwise,-22,-37,,,,,0,0,0,0,0,5,5,11,,,,,73.4525725239655,None,73.4525725239655,74.45510179793928,73.4525725239655,74.45510179793928,75.45472287200391,None,75.45472287200391,76.45538937894162,75.45472287200391,76.45538937894162,77.44562721799593,77.6429806459928,77.44562721799593,None,79.05558740498964,None,79.05558740498964,None,space,4.361372490064241,-57.58155005035694,84.94078747590538,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
29,151,60,171,"[25,45] degrees",right,0.4,140,151,clockwise,20,31,,,,,0,0,0,0,0,6,6,3,,,,,85.44056839391124,None,85.44056839391124,86.44079390191473,85.44056839391124,86.44079390191473,87.44154547492508,None,87.44154547492508,88.43982151092496,87.44154547492508,88.43982151092496,89.44168941292446,89.64212491200306,89.44168941292446,None,91.04204993089661,None,91.04204993089661,None,space,3.0395007710903883,-57.58155005035694,95.610162274912,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
151,40,180,85,"[25,45] degrees",neutral,-0.4,133,151,clockwise,29,45,,,,,0,0,0,0,0,7,7,4,,,,,96.11036524490919,None,96.11036524490919,97.11070878489409,96.11036524490919,97.11070878489409,98.10948968597222,None,98.10948968597222,99.11111205490306,98.10948968597222,99.11111205490306,100.11137850699015,100.31126142293215,100.11137850699015,None,101.71168804191984,None,101.71168804191984,None,None,,-57.58155005035694,108.20090356096625,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
62,2,100,40,"[25,45] degrees",neutral,0.4,42,2,clockwise,38,38,,,,,0,0,0,0,0,8,8,2,,,,,108.69528439594433,None,108.69528439594433,109.69757071696222,108.69528439594433,109.69757071696222,110.6973307459848,None,110.6973307459848,111.6976581979543,110.6973307459848,111.6976581979543,112.68740576098207,112.88488329690881,112.68740576098207,None,114.29890143394005,None,114.29890143394005,None,space,1.482918991940096,-57.58155005035694,117.29948076291475,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
107,11,127,31,"[25,45] degrees",left,-0.4,146,107,clockwise,20,20,,,,,0,0,0,0,0,9,9,5,,,,,117.79804687690921,None,117.79804687690921,118.78670314094052,117.79804687690921,118.78670314094052,119.80006766691804,None,119.80006766691804,120.80058641696814,119.80006766691804,120.80058641696814,121.80083553493023,122.00061011093203,121.80083553493023,None,123.39963009499479,None,123.39963009499479,None,space,2.2150079499697313,-57.58155005035694,127.13441020692699,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
133,82,92,62,"[25,45] degrees",right,0.4,120,82,anticlockwise,-20,-41,,,,,0,0,0,0,0,10,10,7,,,,,127.62602118891664,None,127.62602118891664,128.6229044869542,127.62602118891664,128.6229044869542,129.63629655796103,None,129.63629655796103,130.63683862891048,129.63629655796103,130.63683862891048,131.6369060690049,131.83700238994788,131.6369060690049,None,133.23589297989383,None,133.23589297989383,None,space,1.8843316750135273,-57.58155005035694,136.63818345300388,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
70,170,37,129,"[25,45] degrees",neutral,0.4,173,170,anticlockwise,-41,-33,,,,,0,0,0,0,0,11,11,10,,,,,137.1384260469349,None,137.1384260469349,138.13729257392697,137.1384260469349,138.13729257392697,139.13933964597527,None,139.13933964597527,140.13946712191682,139.13933964597527,140.13946712191682,141.1395677399123,141.33965897292364,141.1395677399123,None,142.74010966299102,None,142.74010966299102,None,space,4.574975080904551,-57.58155005035694,148.84027129597962,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
165,111,199,141,"[25,45] degrees",left,-0.4,199,165,clockwise,34,30,,,,,0,0,0,0,0,12,12,1,,,,,149.34263254492544,None,149.34263254492544,150.34294749691617,149.34263254492544,150.34294749691617,151.34300627594348,None,151.34300627594348,152.34301373397466,151.34300627594348,152.34301373397466,153.343199911993,153.54330994794145,153.343199911993,None,154.94351342192385,None,154.94351342192385,None,space,1.2028929869411513,-57.58155005035694,157.67792326095514,None,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.32890967000276,None,space,0.8349000700982288,160.32890967000276,None,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1130,circle_rotation,2021.2.3,60.05965749530208,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.59701841999777,None,165.59701841999777,None,space,0.7412279020063579,-57.58155005035694,166.36351980699692,None,,,,,,,161.2032926409738,None,161.2032926409738,161.9626078719739,161.2032926409738,161.9626078719739,162.59453221294098,None,162.59453221294098,163.33375731599517,162.59453221294098,163.33375731599517,163.99652030796278,164.19658918399364,163.99652030796278,None,,,,,,
